typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"C","A","20140101","2014","52","2014","68","BOL","Bolivia (Plurinational State of)","M","Import","0","W00","World","0","W00","World","H4","HS","true","1201","Soya beans, whether or not broken","4","false","C00","TOTAL CPC","0 ","0","TOTAL MOT","8","kg","6492273","false","8","kg","6492273","false","6492273.54","false",,"false","4219069.39","3870744.12","4219069.39","0","false","true",
"C","A","20140101","2014","52","2014","68","BOL","Bolivia (Plurinational State of)","X","Export","0","W00","World","0","W00","World","H4","HS","true","1201","Soya beans, whether or not broken","4","false","C00","TOTAL CPC","0 ","0","TOTAL MOT","8","kg","183636497","false","8","kg","183636497","false","183636497","false",,"false",,"89783925.55","89783925.55","0","false","true",
"C","A","20140101","2014","52","2014","70","BIH","Bosnia Herzegovina","M","Import","0","W00","World","0","W00","World","H4","HS","true","1201","Soya beans, whether or not broken","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","14958501","false","-1","N/A",,"false","14958501","false",,"false","6989845",,"6989845","0","true","false",
"C","A","20140101","2014","52","2014","70","BIH","Bosnia Herzegovina","X","Export","0","W00","World","0","W00","World","H4","HS","true","1201","Soya beans, whether or not broken","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","573240","false","-1","N/A",,"false","573240","false",,"false",,"323779","323779","0","true","false",
"C","A","20140101","2014","52","2014","72","BWA","Botswana","M","Import","0","W00","World","0","W00","World","H4","HS","true","1201","Soya beans, whether or not broken","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","359429.23","false","8","kg","359429.23","false","359429.23","false","0","false","217067.504",,"217067.504","0","false","true",
"C","A","20140101","2014","52","2014","76","BRA","Brazil","M","Import","0","W00","World","0","W00","World","H4","HS","true","1201","Soya beans, whether or not broken","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","578994193.562","true","-1","N/A","0","false","578716013.562","true","0","false","263575009","255873683","263575009","6","false","true",
"C","A","20140101","2014","52","2014","76","BRA","Brazil","X","Export","0","W00","World","0","W00","World","H4","HS","true","1201","Soya beans, whether or not broken","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","45692018362","false","-1","N/A","0","false","45691991340","false","0","false",,"23277378054","23277378054","0","false","true",
"C","A","20140101","2014","52","2014","84","BLZ","Belize","M","Import","0","W00","World","0","W00","World","H4","HS","true","1201","Soya beans, whether or not broken","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","127862","true","-1","N/A",,"false","127862","true",,"false","86036",,"86036","6","true","false",
"C","A","20140101","2014","52","2014","90","SLB","Solomon Isds","M","Import","0","W00","World","0","W00","World","H2","HS","true","1201","Soya beans; whether or not broken","4","false","C00","TOTAL CPC","0 ","0","TOTAL MOT","8","kg","868.2","false","8","kg","868.2","false","868.2","false",,"false","1975.774",,"1975.774","0","false","true",
"C","A","20140101","2014","52","2014","96","BRN","Brunei Darussalam","M","Import","0","W00","World","0","W00","World","H4","HS","true","1201","Soya beans, whether or not broken","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","795461","false","-1","N/A",,"false","795461","false",,"false","777886",,"777886","0","true","false",
"C","A","20140101","2014","52","2014","96","BRN","Brunei Darussalam","X","Export","0","W00","World","0","W00","World","H4","HS","true","1201","Soya beans, whether or not broken","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","57000","false","-1","N/A",,"false","57000","false",,"false",,"50146","50146","0","true","false",
"C","A","20140101","2014","52","2014","100","BGR","Bulgaria","M","Import","0","W00","World","0","W00","World","H4","HS","true","1201","Soya beans, whether or not broken","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1205418","false","-1","N/A",,"false","1205418","false",,"false","635621",,"635621","0","true","false",
"C","A","20140101","2014","52","2014","100","BGR","Bulgaria","X","Export","0","W00","World","0","W00","World","H4","HS","true","1201","Soya beans, whether or not broken","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","138965","false","-1","N/A",,"false","138965","false",,"false",,"406615","406615","0","true","false",
"C","A","20140101","2014","52","2014","104","MMR","Myanmar","M","Import","0","W00","World","0","W00","World","H4","HS","true","1201","Soya beans, whether or not broken","4","false","C00","TOTAL CPC","0 ","0","TOTAL MOT","8","kg","267888","false","8","kg","267888","false","267888","false","0","false","228303.53",,"228303.53","0","false","true",
"C","A","20140101","2014","52","2014","104","MMR","Myanmar","X","Export","0","W00","World","0","W00","World","H4","HS","true","1201","Soya beans, whether or not broken","4","false","C00","TOTAL CPC","0 ","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"2483250.05","2483250.05","0","false","true",
"C","A","20140101","2014","52","2014","108","BDI","Burundi","M","Import","0","W00","World","0","W00","World","H4","HS","true","1201","Soya beans, whether or not broken","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","6944","false","-1","N/A",,"false","6944","false",,"false","804",,"804","0","true","false",
