year,P,D,Q,I,source,units,notes
2000,32457554,2000,,,UN_Comtrade,USD,
2001,23494623,2001,,,UN_Comtrade,USD,
2002,24808780,2002,,,UN_Comtrade,USD,
2003,27246300,2003,,,UN_Comtrade,USD,
2004,32088118,2004,,,UN_Comtrade,USD,
2005,37594265,2005,,,UN_Comtrade,USD,
2006,31369969,2006,,,UN_Comtrade,USD,
2007,40399502,2007,,,UN_Comtrade,USD,
2008,53422791,2008,,,UN_Comtrade,USD,
2009,31816389,2009,,,UN_Comtrade,USD,
2010,56755830,2010,,,UN_Comtrade,USD,
2011,86833498,2011,,,UN_Comtrade,USD,
