year,exporter,importer,product,value_kusd,quantity_tonnes
1995,China,554,250410,48.181,197.383
1995,China,Nigeria,250410,8.05,35.0
1995,China,Pakistan,250410,68.738,527.5
1995,China,Philippines,250410,5.686,29.0
1995,China,Poland,250410,147.322,532.0
1995,China,699,250410,276.32,414.571
1995,China,702,250410,47.883,340.0
1995,China,703,250410,463.0,975.125
1995,China,711,250410,15.033,10.561
1995,China,Spain,250410,1806.756,4080.027
1995,China,Sweden,250410,0.841,0.223
1995,China,760,250410,10.587,54.0
1995,China,Thailand,250410,174.925,607.547
1995,China,UAE,250410,9.1,33.0
1995,China,Turkey,250410,1557.491,3684.616
1995,China,Egypt,250410,46.335,353.062
1995,China,826,250410,1841.876,6235.298
1995,China,USA,250410,6718.104,13651.215
1995,China,Venezuela,250410,409.533,960.0
1995,China,894,250410,9.8,5.0
1995,Colombia,699,250410,4.758,5.0
1995,Costa Rica,Panama,250410,2.76,42.601
1995,Czech Republic,040,250410,0.545,1.062
1995,Czech Republic,Bulgaria,250410,2.683,1.5
1995,Czech Republic,China,250410,13.454,29.601
1995,Czech Republic,Colombia,250410,4.19,4.0
1995,Czech Republic,Croatia,250410,22.284,29.836
1995,Czech Republic,251,250410,43.417,10.611
1995,Czech Republic,Germany,250410,1033.0,824.007
1995,Czech Republic,300,250410,50.75,80.636
1995,Czech Republic,Hungary,250410,43.656,93.614
1995,Czech Republic,Italy,250410,89.858,94.281
1995,Czech Republic,Netherlands,250410,15.98,44.0
1995,Czech Republic,Poland,250410,32.471,93.089
1995,Czech Republic,Romania,250410,14.809,6.038
1995,Czech Republic,703,250410,339.93,683.152
1995,Czech Republic,705,250410,19.708,40.685
1995,Czech Republic,757,250410,10.792,8.892
1995,Czech Republic,807,250410,12.14,7.168
1995,Czech Republic,826,250410,53.972,117.704
1995,Czech Republic,USA,250410,13.054,7.139
1995,Denmark,251,250410,65.345,10.0
1995,Denmark,579,250410,16.784,31.218
1995,Denmark,Spain,250410,42.799,72.0
1995,Denmark,Egypt,250410,20.77,0.884
1995,251,Australia,250410,32.829,9.3
1995,251,058,250410,81.259,79.984
1995,251,China,250410,8.625,50.5
1995,251,Germany,250410,122.742,162.334
1995,251,Italy,250410,3.47,5.107
1995,251,400,250410,6.819,2.312
1995,251,Malaysia,250410,142.637,200.569
1995,251,Mexico,250410,4.0,0.226
1995,251,Morocco,250410,72.203,53.188
1995,251,Netherlands,250410,161.515,12.437
1995,251,699,250410,1.805,0.5
1995,251,702,250410,11.83,4.0
1995,251,711,250410,10.855,2.375
1995,251,Spain,250410,59.973,41.528
1995,251,Sweden,250410,13.64,26.0
1995,251,757,250410,15.573,2.812
1995,251,Thailand,250410,0.637,0.043
1995,251,Turkey,250410,83.717,163.82
1995,251,Egypt,250410,27.88,0.097
1995,251,826,250410,70.083,57.014
1995,251,USA,250410,13.238,11.978
1995,268,Japan,250410,2.727,6.25
1995,Germany,Argentina,250410,32.0,18.087
1995,Germany,Australia,250410,33.515,24.016
1995,Germany,040,250410,1840.229,2688.819
1995,Germany,058,250410,328.861,223.862
1995,Germany,068,250410,2.0,1.187
1995,Germany,Brazil,250410,61.162,6.093
1995,Germany,Bulgaria,250410,46.0,61.3
1995,Germany,Canada,250410,68.174,17.0
1995,Germany,Chile,250410,16.953,13.406
1995,Germany,China,250410,11.711,6.062
1995,Germany,Colombia,250410,26.485,19.998
1995,Germany,Costa Rica,250410,6.529,2.796
1995,Germany,Croatia,250410,23.382,15.804
1995,Germany,Czech Republic,250410,227.415,169.646
1995,Germany,Denmark,250410,138.783,108.273
1995,Germany,214,250410,1.0,1.0
1995,Germany,222,250410,4.596,0.0
1995,Germany,Finland,250410,97.318,37.618
1995,Germany,251,250410,990.106,903.369
1995,Germany,300,250410,2.295,4.311
1995,Germany,Guatemala,250410,1.842,0.532
1995,Germany,340,250410,0.926,0.093
1995,Germany,344,250410,40.46,3.0
1995,Germany,Hungary,250410,247.468,297.133
1995,Germany,Indonesia,250410,51.87,37.992
1995,Germany,372,250410,28.729,10.307
1995,Germany,Israel,250410,4.0,1.625
1995,Germany,Italy,250410,1837.0,1381.586
1995,Germany,Japan,250410,139.877,16.59
1995,Germany,400,250410,2.0,0.796
1995,Germany,South Korea,250410,241.112,51.573
1995,Germany,Malaysia,250410,57.715,19.094
1995,Germany,Mexico,250410,60.673,15.114
1995,Germany,Netherlands,250410,1023.161,1122.793
1995,Germany,554,250410,4.351,1.868
1995,Germany,Nigeria,250410,4.0,2.812
1995,Germany,579,250410,29.171,28.716
1995,Germany,Peru,250410,6.11,2.692
1995,Germany,Philippines,250410,8.0,3.625
1995,Germany,Poland,250410,103.877,52.691
1995,Germany,Portugal,250410,13.551,9.034
1995,Germany,Russia,250410,2.0,1.125
1995,Germany,699,250410,33.253,11.674
1995,Germany,702,250410,1.191,0.68
1995,Germany,703,250410,96.0,90.732
1995,Germany,705,250410,68.032,57.652
1995,Germany,711,250410,194.503,106.377
1995,Germany,Spain,250410,1055.686,736.211
1995,Germany,Sweden,250410,1342.329,357.499
1995,Germany,757,250410,305.35,210.885
1995,Germany,760,250410,42.0,54.101
1995,Germany,Thailand,250410,13.927,32.109
1995,Germany,UAE,250410,1.0,0.898
1995,Germany,Turkey,250410,204.414,159.514
1995,Germany,807,250410,53.0,60.5
1995,Germany,Egypt,250410,1.0,0.296
1995,Germany,826,250410,128.542,165.223
1995,Germany,USA,250410,266.466,87.194
1995,Germany,Venezuela,250410,35.789,38.601
1995,344,China,250410,1.84,2.182
1995,344,Germany,250410,14.0,28.3
1995,344,Indonesia,250410,2.585,0.199
1995,344,North Korea,250410,63.858,5.5
1995,344,South Korea,250410,44.468,3.812
1995,344,554,250410,14.607,60.0
1995,344,702,250410,21.717,1.75
1995,344,711,250410,11.599,60.0
1995,344,Thailand,250410,3.071,3.0
1995,344,826,250410,11.84,60.48
1995,344,USA,250410,68.307,396.187
1995,Hungary,040,250410,676.875,263.187
1995,Indonesia,Malaysia,250410,8.752,34.0
1995,372,Sweden,250410,51.186,8.0
1995,372,826,250410,14.201,8.199
1995,Italy,Argentina,250410,4.165,0.105
1995,Italy,Australia,250410,1.694,0.148
1995,Italy,Colombia,250410,1.595,1.0
1995,Italy,Croatia,250410,0.883,0.0
1995,Italy,251,250410,3.024,1.835
1995,Italy,Germany,250410,1.896,1.437
1995,Italy,300,250410,1.37,0.699
1995,Italy,Hungary,250410,26.706,10.833
1995,Italy,Iran,250410,1.199,0.01
1995,Italy,Israel,250410,2.76,1.5
1995,Italy,South Korea,250410,6.679,14.562
1995,Italy,470,250410,2.273,0.183
1995,Italy,Mexico,250410,6.0,5.125
1995,Italy,Poland,250410,16.979,12.0
1995,Italy,Romania,250410,1.0,1.0
1995,Italy,Saudi Arabia,250410,0.875,0.021
1995,Italy,702,250410,6.55,2.312
1995,Italy,703,250410,71.389,117.289
1995,Italy,705,250410,8.07,5.337
1995,Italy,Spain,250410,102.05,91.943
1995,Italy,757,250410,3.219,0.269
1995,Italy,Thailand,250410,0.811,0.066
1995,Italy,Tunisia,250410,1.578,2.705
1995,Italy,Turkey,250410,23.46,8.5
1995,Italy,826,250410,7.177,3.437
1995,Italy,Uruguay,250410,0.869,0.01
1995,Japan,Australia,250410,12.169,1.22
1995,Japan,Bangladesh,250410,35.492,67.354
1995,Japan,058,250410,122.767,7.0
1995,Japan,Canada,250410,212.702,139.0
1995,Japan,China,250410,8.306,4.976
1995,Japan,Denmark,250410,359.557,76.0
1995,Japan,251,250410,132.233,32.228
1995,Japan,Germany,250410,3807.473,972.0
1995,Japan,344,250410,163.566,15.08
1995,Japan,Hungary,250410,54.168,7.0
1995,Japan,Indonesia,250410,166.679,154.755
1995,Japan,Iran,250410,40.527,50.0
1995,Japan,372,250410,300.136,104.539
1995,Japan,South Korea,250410,924.712,252.447
1995,Japan,440,250410,13.399,0.515
1995,Japan,Malaysia,250410,182.418,35.481
1995,Japan,Mexico,250410,7.116,5.721
1995,Japan,490,250410,1505.378,342.0
1995,Japan,554,250410,1.22,0.5
1995,Japan,Pakistan,250410,3.53,1.0
1995,Japan,Peru,250410,6.052,0.753
1995,Japan,Philippines,250410,74.176,54.0
1995,Japan,699,250410,11.307,7.016
1995,Japan,702,250410,735.564,92.785
1995,Japan,711,250410,3.879,0.101
1995,Japan,Spain,250410,19.274,48.398
1995,Japan,Sweden,250410,456.785,14.945
1995,Japan,Thailand,250410,49.946,19.619
1995,Japan,826,250410,23.011,7.267
1995,Japan,834,250410,5.247,1.125
1995,Japan,USA,250410,2298.934,3406.88
1995,North Korea,Japan,250410,7.233,8.0
1995,South Korea,China,250410,9.34,27.866
1995,South Korea,Germany,250410,64.0,215.0
1995,South Korea,344,250410,5.082,14.0
1995,South Korea,Indonesia,250410,241.213,635.596
1995,South Korea,Japan,250410,298.748,1800.0
1995,South Korea,Mexico,250410,7.0,17.0
1995,South Korea,Philippines,250410,4.995,17.0
1995,South Korea,Saudi Arabia,250410,9.037,51.957
1995,South Korea,711,250410,13.794,38.0
1995,South Korea,757,250410,0.944,0.097
1995,South Korea,Thailand,250410,115.604,417.0
1995,South Korea,USA,250410,5.286,7.128
1995,450,Australia,250410,62.927,40.0
1995,450,058,250410,800.155,1524.0
1995,450,Brazil,250410,16.455,20.0
1995,450,Canada,250410,16.443,54.0
1995,450,204,250410,15.873,20.0
1995,450,251,250410,242.926,427.217
1995,450,Germany,250410,2020.968,3184.023
1995,450,Italy,250410,106.017,120.974
1995,450,Japan,250410,11.201,18.156
1995,450,Mexico,250410,78.241,96.101
1995,450,Netherlands,250410,184.72,260.0
1995,450,Pakistan,250410,47.075,140.0
1995,450,Poland,250410,252.0,207.398
1995,450,699,250410,13.368,20.0
1995,450,826,250410,3633.349,6115.033
1995,450,USA,250410,3078.297,4289.672
1995,Malaysia,Germany,250410,15.0,3.812
1995,Malaysia,702,250410,8.654,4.177
1995,Mexico,Canada,250410,89.8,188.0
1995,Mexico,192,250410,2.0,4.312
1995,Mexico,222,250410,1.787,0.0
1995,Mexico,Guatemala,250410,1.0,2.125
1995,Mexico,340,250410,9.0,40.0
1995,Mexico,USA,250410,1261.939,10189.512
1995,Mexico,Venezuela,250410,4.634,18.0
1995,490,040,250410,1.785,2.75
1995,490,108,250410,12.364,15.125
1995,490,China,250410,19.856,41.156
1995,490,344,250410,1.292,9.0
1995,490,Israel,250410,12.0,0.0
1995,490,Malaysia,250410,2.325,300.0
1995,490,Saudi Arabia,250410,14.153,1.312
1995,490,Thailand,250410,3.553,1.812
1995,490,USA,250410,5.054,12.312
1995,490,Venezuela,250410,379.972,440.0
1995,Morocco,Spain,250410,284.776,750.0
1995,Mozambique,Brazil,250410,22.425,17.5
1995,Mozambique,Mexico,250410,6.0,4.562
1995,Mozambique,Netherlands,250410,138.007,191.777
1995,Mozambique,711,250410,11.652,18.25
1995,Mozambique,Spain,250410,69.26,70.0
1995,Mozambique,USA,250410,856.458,911.187
1995,Netherlands,040,250410,14.285,6.812
1995,Netherlands,058,250410,144.669,155.112
1995,Netherlands,Bulgaria,250410,13.018,28.0
1995,Netherlands,Czech Republic,250410,28.964,114.816
1995,Netherlands,251,250410,87.171,48.531
1995,Netherlands,Germany,250410,23.172,41.3
1995,Netherlands,372,250410,7.434,0.875
1995,Netherlands,Italy,250410,13.46,6.187
1995,Netherlands,Kenya,250410,27.436,19.109
1995,Netherlands,Portugal,250410,27.273,64.779
1995,Netherlands,699,250410,1.373,0.472
1995,Netherlands,711,250410,5.458,2.062
1995,Netherlands,Spain,250410,16.946,57.8
