year,exporter,importer,product,value_kusd,quantity_tonnes
1995,Italy,Turkey,283691,3.678,0.693
1995,Italy,Uruguay,283691,2.0,0.05
1995,Italy,Venezuela,283691,3.687,0.597
1995,Japan,Sri Lanka,283691,11.518,0.044
1995,Japan,China,283691,12.638,1.125
1995,Japan,Denmark,283691,4.617,0.023
1995,Japan,Indonesia,283691,16.21,15.562
1995,Japan,Israel,283691,699.127,32.0
1995,Japan,South Korea,283691,17.196,1.954
1995,Japan,Malaysia,283691,23.503,16.0
1995,Japan,490,283691,32.582,7.25
1995,Japan,Netherlands,283691,0.505,0.01
1995,Japan,554,283691,75.378,17.926
1995,Japan,Thailand,283691,25.939,2.569
1995,Japan,USA,283691,2.908,0.199
1995,Kazakhstan,Germany,283691,142.0,42.601
1995,South Korea,Bangladesh,283691,21.081,0.0
1995,490,344,283691,1.551,1.0
1995,490,Malaysia,283691,4.59,10.0
1995,490,699,283691,59.306,12.687
1995,498,Saudi Arabia,283691,25.679,42.0
1995,512,UAE,283691,7.23,20.0
1995,Netherlands,Argentina,283691,10.308,3.0
1995,Netherlands,Australia,283691,24.839,1.75
1995,Netherlands,040,283691,14.768,3.812
1995,Netherlands,058,283691,421.967,97.189
1995,Netherlands,Colombia,283691,2.493,0.148
1995,Netherlands,Czech Republic,283691,10.487,2.616
1995,Netherlands,Denmark,283691,2.021,0.25
1995,Netherlands,251,283691,287.657,78.001
1995,Netherlands,Germany,283691,238.4,28.363
1995,Netherlands,Hungary,283691,57.439,12.078
1995,Netherlands,352,283691,0.977,0.199
1995,Netherlands,Indonesia,283691,9.387,0.597
1995,Netherlands,Italy,283691,945.337,227.293
1995,Netherlands,Poland,283691,22.995,1.187
1995,Netherlands,Portugal,283691,3.477,0.996
1995,Netherlands,Romania,283691,32.641,10.062
1995,Netherlands,705,283691,15.91,3.429
1995,Netherlands,711,283691,34.644,5.125
1995,Netherlands,Spain,283691,231.574,63.356
1995,Netherlands,Sweden,283691,128.018,29.941
1995,Netherlands,Turkey,283691,123.816,29.377
1995,Netherlands,Egypt,283691,39.359,10.133
1995,Netherlands,826,283691,295.981,68.96
1995,Russia,Czech Republic,283691,135.102,38.851
1995,Russia,Germany,283691,821.0,241.898
1995,Russia,Italy,283691,42.397,10.0
1995,Russia,Japan,283691,461.314,128.8
1995,Russia,Thailand,283691,5.768,0.656
1995,Saudi Arabia,414,283691,1.281,0.796
1995,699,512,283691,108.5,918.812
1995,702,251,283691,0.978,0.008
1995,702,Malaysia,283691,0.728,0.066
1995,702,554,283691,4.447,0.199
1995,702,699,283691,16.258,4.5
1995,702,Thailand,283691,18.585,1.125
1995,705,Argentina,283691,1.414,0.097
1995,705,Australia,283691,79.457,5.122
1995,705,040,283691,1.925,0.097
1995,705,Croatia,283691,14.006,0.0
1995,705,251,283691,228.984,15.755
1995,705,Germany,283691,3.257,0.187
1995,705,Iran,283691,35.488,2.0
1995,705,Japan,283691,19.833,1.0
1995,705,South Korea,283691,37.629,2.375
1995,705,Mexico,283691,16.626,1.015
1995,705,490,283691,15.155,1.0
1995,705,Netherlands,283691,33.797,2.361
1995,705,554,283691,5.393,0.199
1995,705,699,283691,17.111,1.765
1995,705,702,283691,21.952,0.699
1995,705,757,283691,18.73,1.083
1995,705,Turkey,283691,167.139,4.0
1995,711,894,283691,83.195,207.398
1995,Spain,Italy,283691,14.984,4.0
1995,Spain,Portugal,283691,0.754,0.208
1995,Spain,Turkey,283691,27.349,5.939
1995,Sweden,Finland,283691,1.392,0.003
1995,Sweden,Hungary,283691,0.979,0.097
1995,Sweden,579,283691,0.563,0.041
1995,757,Brazil,283691,0.976,0.024
1995,757,Chile,283691,16.279,0.878
1995,757,251,283691,0.708,0.009
1995,757,Germany,283691,2.252,0.024
1995,757,Italy,283691,69.537,1.767
1995,757,South Korea,283691,57.563,17.441
1995,757,Malaysia,283691,39.134,100.0
1995,757,Thailand,283691,3.728,0.199
1995,757,826,283691,31.976,17.477
1995,757,USA,283691,1.549,0.051
1995,757,Uruguay,283691,3.0,0.117
1995,Thailand,702,283691,1.279,0.359
1995,826,Australia,283691,0.532,0.016
1995,826,040,283691,7.638,1.25
1995,826,058,283691,368.869,87.529
1995,826,196,283691,6.619,0.996
1995,826,Denmark,283691,10.331,2.41
1995,826,Finland,283691,43.384,17.633
1995,826,251,283691,266.847,67.386
1995,826,Germany,283691,49.617,4.018
1995,826,Iran,283691,80.316,4.0
1995,826,372,283691,58.24,11.967
1995,826,Italy,283691,159.199,38.068
1995,826,Japan,283691,6.242,2.0
1995,826,South Korea,283691,5.437,0.051
1995,826,Malaysia,283691,1.972,0.097
1995,826,Netherlands,283691,345.252,65.048
1995,826,579,283691,5.029,0.074
1995,826,Poland,283691,54.877,31.695
1995,826,Portugal,283691,24.082,6.375
1995,826,Saudi Arabia,283691,5.05,0.796
1995,826,699,283691,4.992,0.554
1995,826,711,283691,0.741,0.097
1995,826,Spain,283691,949.09,136.257
1995,826,Sweden,283691,44.111,12.379
1995,826,757,283691,55.069,2.687
1995,826,USA,283691,7.8,0.001
1995,USA,Argentina,283691,57.261,14.065
1995,USA,Australia,283691,376.441,90.339
1995,USA,040,283691,117.557,18.8
1995,USA,Brazil,283691,6.582,0.437
1995,USA,Cambodia,283691,12.959,0.929
1995,USA,Canada,283691,2733.429,780.608
1995,USA,China,283691,42.699,2.562
1995,USA,Colombia,283691,1.057,0.393
1995,USA,214,283691,6.228,4.875
1995,USA,222,283691,1.195,0.105
1995,USA,Finland,283691,9.452,0.496
1995,USA,251,283691,163.163,41.5
1995,USA,Germany,283691,3027.195,877.123
1995,USA,344,283691,39.837,10.05
1995,USA,Israel,283691,244.875,65.316
1995,USA,Japan,283691,7825.813,2152.726
1995,USA,South Korea,283691,365.686,107.76
1995,USA,Mexico,283691,415.801,109.039
1995,USA,490,283691,284.939,77.527
1995,USA,Netherlands,283691,1235.943,166.346
1995,USA,554,283691,48.843,2.121
1995,USA,579,283691,3.474,0.005
1995,USA,Panama,283691,3.292,0.199
1995,USA,Peru,283691,21.546,0.599
1995,USA,Saudi Arabia,283691,7.793,1.674
1995,USA,699,283691,442.822,110.947
1995,USA,702,283691,139.893,39.707
1995,USA,Vietnam,283691,8.25,0.964
1995,USA,711,283691,10.824,2.094
1995,USA,Spain,283691,611.583,142.306
1995,USA,Sweden,283691,4.275,0.132
1995,USA,757,283691,22.913,5.0
1995,USA,826,283691,3398.369,966.873
1995,USA,Venezuela,283691,1020.176,416.02
1995,891,South Korea,283691,7.5,0.5
1996,Algeria,340,283691,27.865,100.398
1996,Australia,Germany,283691,71.296,24.0
1996,Australia,Netherlands,283691,44.623,14.0
1996,Australia,554,283691,4.202,0.402
1996,040,Germany,283691,35.329,2.125
1996,040,891,283691,3.495,1.0
1996,058,251,283691,38.442,7.53
1996,058,Italy,283691,108.159,29.824
1996,058,Netherlands,283691,0.74,0.014
1996,058,Romania,283691,22.0,5.0
1996,058,711,283691,58.294,18.0
1996,058,Spain,283691,4.619,1.0
1996,058,Turkey,283691,3.641,0.296
1996,058,826,283691,19.25,5.0
1996,Brazil,Argentina,283691,4.235,1.062
1996,Canada,711,283691,0.803,0.011
1996,Chile,Argentina,283691,20.877,5.0
1996,Chile,Australia,283691,98.279,36.289
1996,Chile,058,283691,54.468,82.52
1996,Chile,Canada,283691,886.486,275.281
1996,Chile,China,283691,176.255,54.434
1996,Chile,Ecuador,283691,5.295,1.0
1996,Chile,Finland,283691,64.576,15.0
1996,Chile,251,283691,1510.749,176.252
1996,Chile,Germany,283691,11241.987,4163.465
1996,Chile,Hungary,283691,2.0,0.597
1996,Chile,Israel,283691,33.0,0.0
1996,Chile,Italy,283691,1.638,0.296
1996,Chile,Japan,283691,6976.995,2118.983
1996,Chile,South Korea,283691,2722.443,809.731
1996,Chile,Netherlands,283691,1030.471,354.917
1996,Chile,Peru,283691,52.8,12.0
1996,Chile,711,283691,48.812,18.144
1996,Chile,Spain,283691,109.664,36.289
1996,Chile,USA,283691,12483.083,4605.115
1996,Chile,Venezuela,283691,2705.656,910.25
1996,China,Argentina,283691,15.136,3.0
1996,China,058,283691,54.331,15.13
1996,China,Czech Republic,283691,217.717,54.0
1996,China,251,283691,519.058,141.123
1996,China,Germany,283691,909.896,262.024
1996,China,344,283691,191.47,27.171
1996,China,Indonesia,283691,82.075,24.661
1996,China,Israel,283691,2081.341,513.0
1996,China,Italy,283691,843.904,232.745
1996,China,Japan,283691,2310.392,655.114
1996,China,South Korea,283691,811.491,141.751
1996,China,Netherlands,283691,1242.837,381.765
