typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"C","A","20140101","2014","52","2014","12","DZA","Algeria","M","Import","0","W00","World","0","W00","World","H4","HS","true","750210","Nickel; unwrought, not alloyed","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","9293","false","-1","N/A",,"false","9293","false",,"false","195140",,"195140","0","true","false",
"C","A","20140101","2014","52","2014","32","ARG","Argentina","M","Import","0","W00","World","0","W00","World","H4","HS","true","750210","Nickel; unwrought, not alloyed","6","true","C00","TOTAL CPC","0 ","0","TOTAL MOT","8","kg","431755","false","8","kg","431755","false","431755","false",,"false","7752826.51","7662945.11","7752826.51","0","false","true",
"C","A","20140101","2014","52","2014","36","AUS","Australia","M","Import","0","W00","World","0","W00","World","H4","HS","true","750210","Nickel; unwrought, not alloyed","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1288420","false","-1","N/A",,"false","1288420","false",,"false",,"21095055","21095055","0","true","false",
"C","A","20140101","2014","52","2014","40","AUT","Austria","M","Import","0","W00","World","0","W00","World","H4","HS","true","750210","Nickel; unwrought, not alloyed","6","true","C00","TOTAL CPC","0 ","0","TOTAL MOT","8","kg","7365939","false","8","kg","7365939","false","7365939","false","0","false","120806957.361",,"120806957.361","0","false","true",
"C","A","20140101","2014","52","2014","40","AUT","Austria","X","Export","0","W00","World","0","W00","World","H4","HS","true","750210","Nickel; unwrought, not alloyed","6","true","C00","TOTAL CPC","0 ","0","TOTAL MOT","8","kg","282131","false","8","kg","282131","false","282131","false","0","false",,"2552304.361","2552304.361","0","false","true",
"C","A","20140101","2014","52","2014","51","ARM","Armenia","M","Import","0","W00","World","0","W00","World","H4","HS","true","750210","Nickel; unwrought, not alloyed","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1078","false","-1","N/A",,"false","1078","false",,"false","32851",,"32851","0","true","false",
"C","A","20140101","2014","52","2014","56","BEL","Belgium","M","Import","0","W00","World","0","W00","World","H4","HS","true","750210","Nickel; unwrought, not alloyed","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","12056238.23","false","8","kg","12056238.23","false","12056238.23","false","0","false","191346913.991","0","191346913.991","0","false","true",
"C","A","20140101","2014","52","2014","56","BEL","Belgium","X","Export","0","W00","World","0","W00","World","H4","HS","true","750210","Nickel; unwrought, not alloyed","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","2847817.66","false","8","kg","2847817.66","false","2847817.66","false","0","false","0","49206855.285","49206855.285","0","false","true",
"C","A","20140101","2014","52","2014","68","BOL","Bolivia (Plurinational State of)","M","Import","0","W00","World","0","W00","World","H4","HS","true","750210","Nickel; unwrought, not alloyed","6","true","C00","TOTAL CPC","0 ","0","TOTAL MOT","8","kg","430","false","8","kg","430","false","430","false",,"false","10846.98","9474.79","10846.98","0","false","true",
"C","A","20140101","2014","52","2014","70","BIH","Bosnia Herzegovina","M","Import","0","W00","World","0","W00","World","H4","HS","true","750210","Nickel; unwrought, not alloyed","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","37081","false","-1","N/A",,"false","37081","false",,"false","684645",,"684645","0","true","false",
"C","A","20140101","2014","52","2014","72","BWA","Botswana","M","Import","0","W00","World","0","W00","World","H4","HS","true","750210","Nickel; unwrought, not alloyed","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","3868.76","false","8","kg","3868.76","false","3868.76","false","0","false","3743.199",,"3743.199","0","false","true",
"C","A","20140101","2014","52","2014","76","BRA","Brazil","M","Import","0","W00","World","0","W00","World","H4","HS","true","750210","Nickel; unwrought, not alloyed","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1313574.164","true","-1","N/A","0","false","1299104.164","true","0","false","22196700","22027434","22196700","6","false","true",
"C","A","20140101","2014","52","2014","76","BRA","Brazil","X","Export","0","W00","World","0","W00","World","H4","HS","true","750210","Nickel; unwrought, not alloyed","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","14860541","false","0","false",,"238416205","238416205","0","false","true",
"C","A","20140101","2014","52","2014","100","BGR","Bulgaria","M","Import","0","W00","World","0","W00","World","H4","HS","true","750210","Nickel; unwrought, not alloyed","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","138106","false","-1","N/A",,"false","138106","false",,"false","2531353",,"2531353","0","true","false",
"C","A","20140101","2014","52","2014","100","BGR","Bulgaria","X","Export","0","W00","World","0","W00","World","H4","HS","true","750210","Nickel; unwrought, not alloyed","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","3693","false","-1","N/A",,"false","3693","false",,"false",,"82108","82108","0","true","false",
"C","A","20140101","2014","52","2014","112","BLR","Belarus","M","Import","0","W00","World","0","W00","World","H4","HS","true","750210","Nickel; unwrought, not alloyed","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","156152","false","-1","N/A",,"false","156152","false",,"false","2539900",,"2539900","0","true","false",
"C","A","20140101","2014","52","2014","112","BLR","Belarus","X","Export","0","W00","World","0","W00","World","H4","HS","true","750210","Nickel; unwrought, not alloyed","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","5979","false","-1","N/A",,"false","5979","false",,"false",,"101700","101700","0","true","false",
"C","A","20140101","2014","52","2014","12","DZA","Algeria","M","Import","0","W00","World","0","W00","World","H4","HS","true","810520","Cobalt; mattes and other intermediate products of cobalt metallurgy, unwrought cobalt, powders","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","3131","false","-1","N/A",,"false","3131","false",,"false","62683",,"62683","0","true","false",
"C","A","20140101","2014","52","2014","20","AND","Andorra","M","Import","0","W00","World","0","W00","World","H4","HS","true","810520","Cobalt; mattes and other intermediate products of cobalt metallurgy, unwrought cobalt, powders","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1","false","8","kg","1","false","1","false","0","false","5299.284",,"5299.284","0","false","true",
"C","A","20140101","2014","52","2014","32","ARG","Argentina","M","Import","0","W00","World","0","W00","World","H4","HS","true","810520","Cobalt; mattes and other intermediate products of cobalt metallurgy, unwrought cobalt, powders","6","true","C00","TOTAL CPC","0 ","0","TOTAL MOT","8","kg","35126.35","false","8","kg","35126.35","false","35126.35","false",,"false","1165658.8","1150331.12","1165658.8","0","false","true",
"C","A","20140101","2014","52","2014","36","AUS","Australia","M","Import","0","W00","World","0","W00","World","H4","HS","true","810520","Cobalt; mattes and other intermediate products of cobalt metallurgy, unwrought cobalt, powders","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","121052","false","-1","N/A",,"false","121052","false",,"false",,"4025252","4025252","0","true","false",
"C","A","20140101","2014","52","2014","36","AUS","Australia","X","Export","0","W00","World","0","W00","World","H4","HS","true","810520","Cobalt; mattes and other intermediate products of cobalt metallurgy, unwrought cobalt, powders","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","6673777","false","-1","N/A",,"false","6673777","false",,"false",,"149310014","149310014","0","true","false",
"C","A","20140101","2014","52","2014","40","AUT","Austria","M","Import","0","W00","World","0","W00","World","H4","HS","true","810520","Cobalt; mattes and other intermediate products of cobalt metallurgy, unwrought cobalt, powders","6","true","C00","TOTAL CPC","0 ","0","TOTAL MOT","8","kg","747196","false","8","kg","747196","false","747196","false","0","false","24710766.696",,"24710766.696","0","false","true",
"C","A","20140101","2014","52","2014","40","AUT","Austria","X","Export","0","W00","World","0","W00","World","H4","HS","true","810520","Cobalt; mattes and other intermediate products of cobalt metallurgy, unwrought cobalt, powders","6","true","C00","TOTAL CPC","0 ","0","TOTAL MOT","8","kg","5335","false","8","kg","5335","false","5335","false","0","false",,"85143.85","85143.85","0","false","true",
"C","A","20140101","2014","52","2014","48","BHR","Bahrain","M","Import","0","W00","World","0","W00","World","H4","HS","true","810520","Cobalt; mattes and other intermediate products of cobalt metallurgy, unwrought cobalt, powders","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1","false","-1","N/A",,"false","1","false",,"false","61",,"61","0","true","false",
"C","A","20140101","2014","52","2014","51","ARM","Armenia","M","Import","0","W00","World","0","W00","World","H4","HS","true","810520","Cobalt; mattes and other intermediate products of cobalt metallurgy, unwrought cobalt, powders","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","15","false","-1","N/A",,"false","15","false",,"false","1033",,"1033","0","true","false",
"C","A","20140101","2014","52","2014","68","BOL","Bolivia (Plurinational State of)","M","Import","0","W00","World","0","W00","World","H4","HS","true","810520","Cobalt; mattes and other intermediate products of cobalt metallurgy, unwrought cobalt, powders","6","true","C00","TOTAL CPC","0 ","0","TOTAL MOT","8","kg","100","false","8","kg","100","false","100","false",,"false","5427.16","5127.61","5427.16","0","false","true",
