typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"C","A","20020101","2002","52","2002","36","AUS","Australia","M","Import","0","W00","World","0","W00","World","H2","HS","true","2604","Nickel ores and concentrates","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","126670","false","-1","N/A",,"false","126670","false",,"false",,"56195","56195","0","true","false",
"C","A","20020101","2002","52","2002","36","AUS","Australia","X","Export","0","W00","World","0","W00","World","H2","HS","true","2604","Nickel ores and concentrates","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","280606080","false","-1","N/A",,"false","280606080","false",,"false",,"220749776","220749776","0","true","false",
"C","A","20020101","2002","52","2002","40","AUT","Austria","M","Import","0","W00","World","0","W00","World","H2","HS","true","2604","Nickel ores and concentrates","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","400","false","-1","N/A",,"false","400","false",,"false","5990",,"5990","0","true","false",
"C","A","20020101","2002","52","2002","44","BHS","Bahamas","M","Import","0","W00","World","0","W00","World","H1","HS","true","2604","Nickel ores and concentrates","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","20000","false","-1","N/A",,"false","20000","false",,"false","46218",,"46218","0","false","false",
"C","A","20020101","2002","52","2002","48","BHR","Bahrain","M","Import","0","W00","World","0","W00","World","H2","HS","true","2604","Nickel ores and concentrates","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","20000","false","-1","N/A",,"false","20000","false",,"false","6114",,"6114","0","true","false",
"C","A","20020101","2002","52","2002","56","BEL","Belgium","M","Import","0","W00","World","0","W00","World","H2","HS","true","2604","Nickel ores and concentrates","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","52547","false","-1","N/A",,"false","52547","false",,"false","10061",,"10061","0","true","false",
"C","A","20020101","2002","52","2002","56","BEL","Belgium","X","Export","0","W00","World","0","W00","World","H2","HS","true","2604","Nickel ores and concentrates","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","82546","false","-1","N/A",,"false","82546","false",,"false",,"77623","77623","0","true","false",
"C","A","20020101","2002","52","2002","72","BWA","Botswana","M","Import","0","W00","World","0","W00","World","H1","HS","true","2604","Nickel ores and concentrates","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","25917996","false","-1","N/A",,"false","25917996","false",,"false","15068380",,"15068380","0","false","false",
"C","A","20020101","2002","52","2002","76","BRA","Brazil","M","Import","0","W00","World","0","W00","World","H2","HS","true","2604","Nickel ores and concentrates","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","112.403","true","-1","N/A","0","false","112.403","true","0","false","1000","432","1000","6","false","true",
"C","A","20020101","2002","52","2002","12","DZA","Algeria","M","Import","0","W00","World","0","W00","World","H2","HS","true","2605","Cobalt ores and concentrates","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","50","false","-1","N/A",,"false","50","false",,"false","230",,"230","0","true","false",
